ID,PLAYER,POSITION,AGE,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,TEAM,GP,MPG,ORPM,DRPM,RPM,SALARY_MILLIONS,cluster
254,Wayne Selden,SG,22,0.1,1.1,1.1,0.9,0.4,0.1,0.9,1.3,5.1,NO/MEM,14,16.9,-2.44,-0.28,-2.72,1.31,5
255,Denzel Valentine,SG,23,0.2,2.5,2.6,1.1,0.5,0.1,0.9,1.5,5.1,CHI,57,17.1,-2.21,0.13,-2.08,2.09,5
256,Anthony Bennett,PF,23,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5,BKN,23,11.5,-0.76,-1.29,-2.05,1.02,2
257,Aaron Brooks,PG,32,0.3,0.8,1.1,1.9,0.4,0.1,1,1.4,5,IND,65,13.8,-1.81,-1.47,-3.28,2.7,3
258,Trey Burke,PG,24,0.1,0.7,0.8,1.8,0.2,0.1,0.8,0.9,5,WSH,57,12.3,-2.15,-3.09,-5.24,3.39,3
259,Joakim Noah,C,31,3.5,5.2,8.8,2.2,0.7,0.8,1.3,2.8,5,NY,46,22.1,-2.23,1.17,-1.06,17,1
260,Aron Baynes,C,30,1.5,3,4.4,0.4,0.2,0.5,0.7,2.2,4.9,DET,75,15.5,-2.45,2.93,0.48,6.5,1
261,Juan Hernangomez,PF,21,0.7,2.3,3,0.5,0.5,0.2,0.5,1,4.9,DEN,62,13.6,-0.85,-0.69,-1.54,1.99,2
262,Mario Hezonja,SF,21,0.3,1.9,2.2,1,0.5,0.2,0.9,1.1,4.9,ORL,65,14.8,-4.4,-2.2,-6.6,3.91,4
263,Josh McRoberts,PF,29,1,2.3,3.4,2.3,0.5,0.2,1,1.4,4.9,MIA,22,17.3,-2.87,-0.01,-2.88,5.78,2
264,Tiago Splitter,C,32,1,1.8,2.8,0.5,0.1,0.1,0.8,1,4.9,PHI,8,9.5,-1.97,0.69,-1.28,8.55,1
265,Jarell Eddie,SF,25,0.2,1.2,1.4,0,0.2,0,0.2,0.2,4.8,PHX,5,12.4,-2.31,0.62,-1.69,0.06,4
266,Kevin Seraphin,PF,27,0.8,2.1,2.9,0.5,0.1,0.4,0.6,1.3,4.7,IND,49,11.4,-2.94,-1.07,-4.01,1.8,2
267,Isaiah Canaan,SG,25,0.2,1.1,1.3,0.9,0.6,0,0.5,0.9,4.6,CHI,39,15.2,-3,-1.12,-4.12,1.02,5
268,Boris Diaw,PF,34,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6,UTAH,73,17.6,-2.58,-0.5,-3.08,7,2
269,Roy Hibbert,C,30,1.1,2,3.2,0.4,0.2,1,0.7,2.1,4.6,DEN/CHA,48,14.2,-2.48,2.08,-0.4,5,1
270,Kris Humphries,PF,31,1.1,2.6,3.7,0.5,0.3,0.4,0.5,1.2,4.6,ATL,56,12.3,-2.3,0.41,-1.89,4,2
271,Corey Brewer,SF,30,0.4,1.6,2,1.2,0.7,0.2,0.7,1.6,4.5,HOU/LAL,82,15.6,-1.75,1,-0.75,7.61,4
272,Reggie Bullock,SF,25,0.4,1.6,2.1,0.9,0.6,0.1,0.3,0.7,4.5,DET,31,15.1,-0.98,0.57,-0.41,2.26,4
273,Pierre Jackson,PG,25,0.1,1,1.1,2.4,0.3,0,0.4,0.6,4.4,DAL,8,10.5,-0.96,-0.76,-1.72,0.03,3
274,Stanley Johnson,SF,20,0.5,2,2.5,1.4,0.7,0.3,0.9,1.6,4.4,DET,77,17.8,-2.34,-0.04,-2.38,2.97,4
275,Lucas Nogueira,C,24,1.4,2.8,4.3,0.7,0.9,1.6,0.8,2.4,4.4,TOR,57,19.1,-0.61,3.34,2.73,1.92,1
276,Noah Vonleh,PF,21,1.8,3.5,5.2,0.4,0.4,0.4,0.9,2.1,4.4,POR,74,17.1,-4.02,1.03,-2.99,2.75,2
277,Ed Davis,PF,27,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3,4.3,POR,46,17.2,-2.96,-0.06,-3.02,6.67,2
278,Tyler Ennis,PG,22,0.2,0.7,0.8,1.6,0.5,0,0.8,1.1,4.3,HOU/LAL,53,11.1,-1.36,-0.51,-1.87,1.73,3
279,Brandon Rush,SG,31,0.3,1.8,2.1,1,0.5,0.5,0.6,0.9,4.2,MIN,47,21.9,-3.13,-0.73,-3.86,3.5,5
280,Thon Maker,C,19,0.7,1.3,2,0.4,0.2,0.5,0.3,1.5,4,MIL,57,9.9,-1.23,0.17,-1.06,2.57,1
